0,检验检测资质许可注册地在高新区，实验室地址不在高新区，问在哪里办理检验检测资质认定证书,以注册地为准，到注册所在地办理检验检测资质认定许可
1,办理检验检测资质许可需要哪些材料,1.检验检测机构资质认定申请书 2.法人机构法人地位证明文件3.典型检测报告4.质量手册5.程序文件。如果记不住，请进入贵州省政务服务网上查询
2,检验检测资质许可办理流程,申请—受理-专家现场评审—审查—决定 1、检验检测机构提出申请；2、办事人员在3个工作日内对申请材料完整性、形式符合性进行审查；3、审查通过安排评审组； 4、评审组进行现场评审；5、工作人员进行审核、领导审核，10个工作日审批，10个工作日送达证书。
3,增加一个检测项目是不是递交资质变更申请？,不是，增加一个检测项目仍要进行资质审查，提交资质审查所需的相关资料。
4,实验室人员有没有要求达到多少人以上,没有，但实验室重要岗位需要明确到某某人。比如法定代表人、技术负责人、授权签字人、等等
5,检验检测资质许可申请有疑问或不清楚找哪里问？,可以打我们窗口电话或贵州政务服务网咨询或来我们窗口都可以
6,特种设备安装改造维修定单位资格许可的办理注册地在高新区，办公场所不在高新区，问在哪里办理？,以注册地为准，到注册所在地办理。
7,特种设备安装改造维修单位资格许可的办理在哪里提出申请,可以在贵州省政务服务网上在线提交或来窗口直接提交。
8,特种设备安装改造维修单位资格许可的办理流程,申请—受理—审查—决定 1.申请单位提出申请； 2.办事人员收到材料后在承诺时间内完成受理和初审工作；        3.约请鉴定评审机构进行鉴定评审； 4.鉴定评审结束后，鉴定评审机构提交评审报告等材料；5.受理机关自收到评审材料后10个工作日内完成审核，并作出是否准予许可的决定。 6.受理机关作出决定后10个工作日内送达证书。
9,特种设备安装改造维修单位资格许可是否可以委托他人办理?,可以，随申请材料附带授权委托书。
10,特种设备安装改造维修单位资格许可证书是否长期有效？,否。特种设备安装改造维修单位资格许可证证书有效期为4年。合证书有效期届满后，需要继续从事特种设备安装改造维修服务的，应当在有效期届满前6个月向原考核机关提交换证申请。
11,工业生产许可证申请的基本条件是什么？,1.有与拟从事的生产活动相适应的营业执照；2.有与所生产产品相适应的专业技术人员；3.有与所生产产品相适应的生产条件和检验检疫手段；4.有与所生产产品相适应的技术文件和工艺文件；5.有健全有效的质量管理制度和责任制度； 6.产品符合有关国家标准、行业标准以及保障人体健康和人身、财产安全的要求； 7.符合国家产业政策的规定，不存在国家明令淘汰和禁止投资建设的落后工艺、高耗能、污染环境、浪费资源的情况；8.法律、行政法规有规定的，还应当符合规定。
12,工业生产许可证申请是否需要现场评审,不需要
13,请问申请权限内授权计量检定机构审批需要哪些资料？,您好，申请权限内授权计量检定机构审批需提交以下资料：1.《法定计量检定机构授权考核申请书》；2. 证书报告签发人员考核记录；3. 质量手册； 4.程序文件目录；5.已参加的实验室之间比对和（或）能力验证活动目录及结果 ；6.证书报告签发人员一览表；7.机构依法设立的文件副本（授权建立的机构，还应提交质监部门同意授权的文件）；8.机构法定代表人任命文件。
14,请问申请权限内授权计量检定机构审批是否可以网上申请？,您好，申请人可通过贵州政务服务网网上申请。
15,请问申请权限内授权计量检定机构审批在高新区哪里办理？,您好，申请人可乘坐65路、292路公交车到贵州省贵阳市高新区长岭南路阳关大道110号高新区政务服务大厅5号经济社会类窗口咨询办理。
16,请问办理权限内授权计量检定机构审批咨询电话是多少？,您好，5号经济社会类窗口咨询电话：0851-84878127
17,请问办理权限内授权计量检定机构审批是否可以代办？,您好，该事项可以代办。
18,请问申请权限内计量标准器具考核需要哪些资料？,您好，申请权限内计量标准器具考核需提交以下资料：1.《计量标准考核（复查）申请书》；2. 检定或校准人员能力证明；3. 开展检定或校准项目的原始记录及相应的模拟检定或校准证书 ； 4.计量标准器及主要配套设备连续、有效的检定或校准证书；5.《计量标准技术报告》。
19,请问申请权限内计量标准器具考核是否可以网上申请？,您好，申请人可通过贵州政务服务网网上申请。
20,请问申请权限内计量标准器具考核在高新区哪里办理？,您好，申请人可乘坐65路、292路公交车到贵州省贵阳市高新区长岭南路阳关大道110号高新区政务服务大厅5号经济社会类窗口咨询办理。
21,请问办理权限内计量标准器具考核咨询电话是多少？,您好，5号经济社会类窗口咨询电话：0851-84878127
22,请问办理权限内计量标准器具考核是否可以代办？,您好，该事项可以代办。
23,请问申请权限内计量标准器具考核复查需要哪些资料？,您好，申请权限内计量标准器具考核复查需提交以下资料：1.《计量标准考核（复查）申请书》；2. 随机抽取该计量标准近期开展检定或校准工作的原始记录及相应的检定或校准证书；3. 《计量标准考核证书》有效期内连续的《检定或校准结果的重复性试验记录》； 4.《计量标准考核证书》有效期内连续的《计量标准稳定性考核记录》；5.检定或校准人员能力证明；6.《计量标准考核（复查）申请书》；7.《计量标准考核证书》；8.《计量标准考核证书》有效期内计量标准器及主要配套设备连续、有效的检定或校准证书
24,请问申请权限内计量标准器具考核复查是否可以网上申请？,您好，申请人可通过贵州政务服务网网上申请。
25,请问申请权限内计量标准器具考核复查在高新区哪里办理？,您好，申请人可乘坐65路、292路公交车到贵州省贵阳市高新区长岭南路阳关大道110号高新区政务服务大厅5号经济社会类窗口咨询办理。
