0,最近的银行在哪儿,"您好，大厅入口处右侧5米有贵阳银行，入口上方平台处有工商银行,入口处左侧200米有农商银行。"
1,附近有建设银行吗,您好，大厅附近1公里内没有建设银行网点，距离最近的建设银行在观山湖区长岭南路世纪金源财富中心处，距离大概1.4公里。
2,卫生间在哪儿,您好，从大厅正门进入，左侧通道（1号窗口旁边）出去就是卫生间，按照大厅指示牌前往即可。
3,电梯在哪儿,您好，从大厅入口处左侧楼梯上到1楼平台（工商银行旁边）。
4,停车场在哪儿,您好，可从阳关大道右转湖滨路150米后再右转毕节路50米，进入交勘院A座负四层免费停车（发放停车卡，事项办理完毕后在咨询台盖章，凭卡出库）。
5,停车场收费吗,您好，如前来大厅办理业务可免费在停车场停车，入场时发放停车卡，事项办理完毕后在咨询台盖章，凭卡出库。
6,哪儿可以复印,您好，大厅咨询台有提供免费复印服务。
7,附近哪儿可以买东西,您好，从大厅正门对直穿过马路，左转前行200米处阳关小区有便利店，可购买物品。
8,我东西丢了，怎么办,您好，您可前往大厅咨询台失物保管处问询。
9,附近哪有吃饭的地方,您好，大厅门口左侧100米处有“播种吧”餐厅，右侧100米处有多家餐馆，从大厅正门对直穿过马路，左转前行200米处便是阳关小区，有多家餐饮店，均可就餐。
10,哪儿有水杯,您好，大厅各饮水机处及咨询台处均有水杯，可免费领取。
11,大厅哪儿可以充电,您好，大厅配备有自助共享充电宝，在大厅咨询台右后方，您可自行使用。
12,大厅有WIFI吗,"您好，大厅有提供WIFI,号码为GXQZWDT，未设置密码，您可自行连接使用。"
13,大厅食堂办事群众可以吃饭不,您好，食堂不对外开放。
14,大厅附近有公交车可以到贵阳吗,您好，从大厅正门处沿马路向下直行20米或对直穿过马路均有公交站台，沿马路前行1.5公里处有地铁站，均可直达贵阳市内。
15,大厅附近有派出所吗,您好，离此最近的派出所是金岭派出所，从大厅正门出去后右转直行大概350米到达。
16,市政务服务中心怎么走,您好，贵阳市政务服务中心位于贵阳市观山湖区市级行政中心二期办公楼A区负一楼，若是自行驾车，距离我区大约需要耗时20分钟左右。
17,社保在哪儿交,您好，公司社保您请前往观山湖区社保局咨询办理，电话咨询请拨打：0851-87981640；个人社保您请前往白云区社保局咨询办理，电话咨询请拨打：0851-84485067。
18,残保金在哪儿办,您好，办理残保金请在导税台取号，在税收服务窗口办理。
19,哪儿可以领停车卡,您好，停车卡是在您进入地下停车场时由保安人员直接现场发放的，如没有发放给您请直接联系保安人员。
20,哪儿可以盖停车章,您好，您可以到咨询台盖停车章。
21,哪儿可以吸烟,您好，大厅正门外右侧5米有设置专门的吸烟室可吸烟。
22,公积金在哪儿交,您好，公积金请前往观山湖区社保网点交纳，位于贵阳市观山湖区市级行政中心二期办公楼A区负一楼（西南美食城处），电话咨询请拨打：0851-86851072。
23,取的号要等多久,您好，您可以通过扫描大厅二维码关注政务服务中心公众号关注或下载APP安装后用手机直接查看排队叫号进程，自行安排办理时间。
24,哪儿可以扫描,您好，从大厅正门处出门右转200米，对直下楼梯即有打印店可扫描资料。
25,哪儿可以打印,您好，大厅有配备自助打印机，您可自行打印，或从大厅正门处出门右转200米，下楼梯后即有打印店。
26,网络取号怎么取,您好，您可以通过扫描大厅二维码关注政务服务中心公众号或下载APP安装后便可开始网上取号。
27,大厅有咨询电话吗,您好，大厅咨询电话为0851-84878108。
28,在哪儿投诉,您好，投诉请前往大厅后台投诉室，按照大厅指示牌导引，从大厅入口处直行-右转-直行即到；您也可拨打0851-84878107大厅投诉电话直接进行投诉。
29,在哪儿可以写意见建议\投诉,您好，大厅咨询台处有投诉意见薄可直接填写您的意见建议和投诉。
30,在哪儿可以写表扬,您好，大厅咨询台处有表扬薄可直接填写您对窗口人员的表扬。
31,住建局大厅在哪儿,您好，大厅正门处左转5米为不动产大厅。
32,酒类流通许可证在哪儿办,您好，相关事宜请到本栋大厦2楼社会事务局咨询，您也可拨打：0851-84700736咨询办理。
33,大厅办公/上班/下班时间,您好，大厅正常办公时间为早上九点至下午五点，中午有值班窗口持续办理业务。
34,社会事务局在几楼,您好，在本栋大厦2楼，坐电梯前往即可。
35,行政审批局（政务服务中心）在几楼、大数据发展办公室在几楼,您好，在本栋大厦15楼，坐电梯前往即可。
36,国土资源分局在几楼,您好，在本栋大厦16楼，坐电梯前往即可。
