0,注销需要哪些材料？,"1、一般注销：依照《公司法》作出解散的决议或决定文件、经确认的清算报告、国有独资公司申请注销登记应当提交本级人民政府监督管理机构的决定文件、营业执照正副本原件。2、简易注销：企业注销申请书、全体投资人承诺书、营业执照正副本原件。"
1,营业执照遗失/损坏如何补办？,企业自行在国家企业信用信息公示信息网上进行营业执照遗失公示，准备增、减、补、换申请书到注册登记机关办理登记申请，若为高新区登记注册的市场主体请拨打0851-84878106。?
2,查询企业信息档案需要携带哪些材料？,请携带档案查询申请书、委托书及身份证明文件、加盖公章的营执照复印件，到企业所在的登记机关档案室查询，若为高新区登记企业，可致电0851-84103595咨询。
3,企业档案迁移如何办理，需要提交哪些材料？,先到拟迁入登记机关办理迁入手续，后到迁出登记机关办理迁出手续。高新区可致电0851-84103595咨询。
4,通过贵阳市企业注册全程电子化系统网上申请的市场主体设立，状态查询已“已核准通过”，请问下一步应该做什么？,"可由法定代表人（经营者）或委托代理人携带本人身份证明材料前往登记机关所在地的政务大厅市场主体登记窗口办理营业执照领取，若为高新区登记的市场主体，可致电0851-84878106咨询。"
5,"住宅可以办理营业执照吗？",根据《中华人民共和国物权法》规定，允许申请人将满足一定条件的住宅用房作为市场主体住所(经营场所)使用。对于市场主体住所和经营场所分离，或者从事电子商务、无实体店铺的网络交易服务、咨询策划、工业设计、股权投资、商务秘书、咨询代理等无污染、无安全隐患行业的市场主体，应允许将住宅作为市场主体的住所(经营场所)。对从事容易产生环境污染的餐饮、娱乐、洗浴、五金加工等行业，从事易燃易爆物品销售、储存等涉及人民群众生命财产安全的行业，以及法律、法规禁止使用住宅经营的行业，不得将住宅作为经营性场所使用。对利用住宅办理工商登记的，营业执照不视为已改变房屋使用性质的凭证。市场主体不得将非法建筑、危险建筑、被征收房屋等作为住所(经营场所)使用。
6,需要开一家餐饮店如何办理？,"根据经营者或投资人的自身需求，可以申请设立为个体工商户、个人独资企业、有限责任公司等形式的市场主体，并按相应的申请材料规范提交即可。具体提交材料规范可在贵州政务服务网上查询办事指南，经营范围涉及到餐饮类的还需办理《食品经营许可证》。"
7,个体工商户是否可以变更经营者？,个体户变更经营者的，如果是家庭经营的个体工商户，提交相关材料可以做变更，如果为个体经营则应当在办理注销登记后，由新的经营者重新申请注册登记。 
8,公司变更需要多少个工作日办结？,材料齐全，程序合法，承诺5个作日即可办结。
9,设立分支机构可以在网上办理吗,设立分公司、分支机构目前尚需要到高新区政务服务大厅申请办理。
10,如何下载登记注册申请文书？,通过贵州省政务服务网站，选择相应辖区及相应申请办理事项的办事指南，查找到申请材料栏下载即可。
11,通过网上自主申报的企业名称能否删除？,根据申请需求可以进行删除，已自主申报成功的企业名称，保留有效期为30天。
12,如何查询市场主体的注册号？,可以通过国家企业信用信息公示系统上查询。
13,市场主体有哪些类型？,个体工商户、个人独资企业、合伙企业、有限责任公司、股份有限公司、非公司企业法人及营业单位。
14,在贵阳市企业注册全程电子化系统申请的公司，非自然人股东如何签名？,由该法人股东的法定代表人通过相应的渠道认证签名即可。
15,企业申请变更法定代表人，提交的登记申请材料中需要法定代表人签字的部分是指拟任的法定代表人还是原任法定代表人？,根据《公司登记备案申请书》填写规范，由拟法定代表人签署。
16,注册一户内资有限公司如何办理？,申请需要先进行企业名称自主申报，根据投资人（股东）情况，若您申请注册登记辖区为高新区，符合通过贵阳市企业注册全程电子化系统办理条件的，可从网上即可申请办理，无法达到网上办理条件的，可在高新区政务服务大厅6-8号窗口办理，详情可致电0851-84878106咨询。
17,市场主体年报时间是什么时候？?,市场主体于每年的1月1日至6月30日，通过国家企业信用公示信息系统进行年报公示。
18,企业在国家企业信用信息公示系统进行简易注销公告，但公告信息有误，请问能撤销吗？如何撤销？,在公示有效期内，可以由公示人通过国家信用信息公示系统进行自主撤销。如已超过公告有效期，请到登记机关申请驳回方可自主撤销。
19,分公司与子公司有何区别？,分公司不具有法人资格，其民事责任由总公司承担，子公司具有法人资格，依法独立承担民事责任。
20,合伙企业能否设立一人有限责任公司？,因合伙企业不具备法人资格，故不能独立成立一人有限责任公司，但可以与其他法人股东或自然人股东共同成立有限公司责任公司。
21,自然人为何只能成立一户一人有限责任公司？,"根据公司法第五十八条 一人公司的注册资本一个自然人只能投资设立一个一人有限责任公司。该一人有限责任公司不能投资设立新的一人有限责任公司。"
22,股东出资方式有哪些？,根据公司法第二十七条 出资方式可以用货币出资，也可以用实物、知识产权、土地使用权等可以用货币估价并可以依法转让的非货币财产作价出资；但是，法律、行政法规规定不得作为出资的财产除外。 对作为出资的非货币财产应当评估作价，核实财产，不得高估或者低估作价。法律、行政法规对评估作价有规定的，从其规定。
23,股份有限公司一定要设董事会吗？,根据《公司法》第一百零八条规定  股份有限公司设董事会，其成员为五人至十九人。
24,股份有限公司对股东人数有限制吗?,根据《公司法》第七十八条，设立股份有限公司，应当有二人以上二百人以下为发起人，其中须有半数以上的发起人在中国境内有住所。
25,股份有限公司可以认缴制吗?,根据《国务院关于印发注册资本登记制度改革方案的通知》(国发 (2014) 7号)，2014年3月1日起实行注册资本认缴制。2014年3月1日起，公司实行注册资本认缴登记制。
26,国有独资企业是否要成立监事会,根据公司法第七十条规定 国有独资公司监事会成员不得少于五人，其中职工代表的比例不得低于三分之一，具体比例由公司章程规定。
27,企业申请办理业务后，受理通知书遗失，如何领取营业执照或相关的核准通知书？,企业出具说明，申请新设立的市场主体由全体投资人签字或盖章，办理变更或注册的市场主体应加盖企业公章，由委托代理人或法定代表人到登记机关窗口申请领取。如果不是委托人或法定代表人来领取，需要准备一份委托书加盖公章。
28,登记受理申请后，领取营业执照或相关的核准通知书非委托代理人或法定代表人如何领取？,提交投资由全体投资人签字或加盖公章的新的指定代表/委托代理人材料申请领取。
29,法定代表人能担任监事吗,您好，按照公司法的规定，公司的法定代表人只能由公司的执行董事或董事长，或经理担任。董事、高级管理人员不得兼任监事。高级管理人员是指公司的经理、副经理、财务负责人。
30,办理个体工商户需要具备什么条件,《个体工商户条例》 第二条规定:有经营能力的公民，依照本条例规定经工商行政管理部门登记，从事工商业经营的，为个体工商户。 
